nome_categoria;url
;http://socialmedia.8020mkt.com.br/palestras/793
consumo;http://socialmedia.8020mkt.com.br/palestras/Consumo/784
experiência;http://socialmedia.8020mkt.com.br/palestras/Experiencia/785
accountability;http://socialmedia.8020mkt.com.br/palestras/accountability/360
ads;http://socialmedia.8020mkt.com.br/palestras/ads/90
adwords;http://socialmedia.8020mkt.com.br/palestras/adwords/478
afiliados;http://socialmedia.8020mkt.com.br/palestras/afiliados/311
afrobrasileira;http://socialmedia.8020mkt.com.br/palestras/afrobrasileira/718
agência;http://socialmedia.8020mkt.com.br/palestras/agencia/588
agile;http://socialmedia.8020mkt.com.br/palestras/agile/454
agronegócio;http://socialmedia.8020mkt.com.br/palestras/agronegocio/419
algoritmos;http://socialmedia.8020mkt.com.br/palestras/algoritmos/328
alunos;http://socialmedia.8020mkt.com.br/palestras/alunos/134
ame_digital;http://socialmedia.8020mkt.com.br/palestras/ame_digital/777
análise de dados;http://socialmedia.8020mkt.com.br/palestras/analise_de_dados/151
analytics;http://socialmedia.8020mkt.com.br/palestras/analytics/333
aplicativos;http://socialmedia.8020mkt.com.br/palestras/aplicativos/100
app store optimization;http://socialmedia.8020mkt.com.br/palestras/App_Store_Optimization/713
apresentação;http://socialmedia.8020mkt.com.br/palestras/apresentacao/207
arte interativa;http://socialmedia.8020mkt.com.br/palestras/arte_interativa/685
arte tecnológico-digital;http://socialmedia.8020mkt.com.br/palestras/arte_tecnologico_digital/683
arte-mídia;http://socialmedia.8020mkt.com.br/palestras/arte_midia/684
assessoria de imprensa;http://socialmedia.8020mkt.com.br/palestras/assessoria_de_imprensa/297
assinaturas;http://socialmedia.8020mkt.com.br/palestras/assinaturas/291
atendimento;http://socialmedia.8020mkt.com.br/palestras/atendimento/40
ativismo;http://socialmedia.8020mkt.com.br/palestras/ativismo/400
audiovisual;http://socialmedia.8020mkt.com.br/palestras/audiovisual/648
autoconhecimento;http://socialmedia.8020mkt.com.br/palestras/autoconhecimento/116
awareness;http://socialmedia.8020mkt.com.br/palestras/awareness/726
b2b;http://socialmedia.8020mkt.com.br/palestras/B2B/213
baralho;http://socialmedia.8020mkt.com.br/palestras/baralho/814
bia granja;http://socialmedia.8020mkt.com.br/palestras/bia_granja/795
big data;http://socialmedia.8020mkt.com.br/palestras/big_data/218
black mirror;http://socialmedia.8020mkt.com.br/palestras/black_mirror/231
blockchain;http://socialmedia.8020mkt.com.br/palestras/blockchain/732
boatos;http://socialmedia.8020mkt.com.br/palestras/boatos/473
bots;http://socialmedia.8020mkt.com.br/palestras/bots/295
branded content;http://socialmedia.8020mkt.com.br/palestras/branded_content/417
branded entertainment;http://socialmedia.8020mkt.com.br/palestras/branded_entertainment/828
branding;http://socialmedia.8020mkt.com.br/palestras/branding/52
branding na veia;http://socialmedia.8020mkt.com.br/palestras/Branding_na_Veia/748
business intelligence;http://socialmedia.8020mkt.com.br/palestras/business_intelligence/219
cannabis;http://socialmedia.8020mkt.com.br/palestras/cannabis/325
caráter;http://socialmedia.8020mkt.com.br/palestras/carater/316
carreira;http://socialmedia.8020mkt.com.br/palestras/carreira/123
carros autonomos;http://socialmedia.8020mkt.com.br/palestras/carros_autonomos/676
causas sociais;http://socialmedia.8020mkt.com.br/palestras/causas_sociais/279
chatbot;http://socialmedia.8020mkt.com.br/palestras/chatbot/787
chatbots;http://socialmedia.8020mkt.com.br/palestras/chatbots/94
ciborguismo;http://socialmedia.8020mkt.com.br/palestras/ciborguismo/675
cliente;http://socialmedia.8020mkt.com.br/palestras/cliente/239
coaching;http://socialmedia.8020mkt.com.br/palestras/coaching/206
colaboração;http://socialmedia.8020mkt.com.br/palestras/colaboracao/819
colapsodecontextos;http://socialmedia.8020mkt.com.br/palestras/colapsodecontextos/789
comics;http://socialmedia.8020mkt.com.br/palestras/comics/223
comovendernaprimeiravisita;http://socialmedia.8020mkt.com.br/palestras/comovendernaprimeiravisita/820
comportamento;http://socialmedia.8020mkt.com.br/palestras/comportamento/201
comunicação;http://socialmedia.8020mkt.com.br/palestras/comunicacao/200
comunicação corporativa;http://socialmedia.8020mkt.com.br/palestras/comunicacao_corporativa/387
comunicação não violenta;http://socialmedia.8020mkt.com.br/palestras/comunicacao_nao_violenta/690
comunidades;http://socialmedia.8020mkt.com.br/palestras/comunidades/56
conhecimento;http://socialmedia.8020mkt.com.br/palestras/conhecimento/835
consumidor;http://socialmedia.8020mkt.com.br/palestras/Consumidor/691
consumidores;http://socialmedia.8020mkt.com.br/palestras/consumidores/157
conteúdo;http://socialmedia.8020mkt.com.br/palestras/conteudo/15
conteúdo para músicos;http://socialmedia.8020mkt.com.br/palestras/conteudo_para_musicos/802
conteúdodigitaljurídico;http://socialmedia.8020mkt.com.br/palestras/conteudodigitaljuridico/799
copywriting;http://socialmedia.8020mkt.com.br/palestras/copywriting/579
cores;http://socialmedia.8020mkt.com.br/palestras/cores/823
cosumo digital;http://socialmedia.8020mkt.com.br/palestras/cosumo_digital/694
creators;http://socialmedia.8020mkt.com.br/palestras/Creators/738
credibilidade;http://socialmedia.8020mkt.com.br/palestras/credibilidade/364
criatividade;http://socialmedia.8020mkt.com.br/palestras/criatividade/124
crise;http://socialmedia.8020mkt.com.br/palestras/crise/745
crises;http://socialmedia.8020mkt.com.br/palestras/crises/162
crm;http://socialmedia.8020mkt.com.br/palestras/crm/27
crowdfunding;http://socialmedia.8020mkt.com.br/palestras/crowdfunding/130
